datetime,maximum_2m_air_temperature,minimum_2m_air_temperature
2015-01-01,278.1800842285156,270.7174072265625
2015-01-02,282.3841552734375,275.47735595703125
2015-01-03,286.83660888671875,277.65380859375
2015-01-04,288.8523864746094,278.60369873046875
2015-01-05,287.7914123535156,276.8294372558594
2015-01-06,288.1264953613281,274.1645812988281
2015-01-07,287.31732177734375,275.062255859375
2015-01-08,287.62835693359375,275.13531494140625
2015-01-09,286.3868713378906,276.8679504394531
2015-01-10,290.9271240234375,278.9029235839844
2015-01-11,292.92120361328125,278.8208312988281
2015-01-12,287.5870666503906,278.21661376953125
2015-01-13,292.08270263671875,275.8043518066406
2015-01-14,293.0087890625,278.9594421386719
2015-01-15,294.3694763183594,276.65325927734375
2015-01-16,293.1883544921875,282.1474304199219
2015-01-17,285.9142761230469,278.5897216796875
2015-01-18,281.99407958984375,277.2894592285156
2015-01-19,285.9997253417969,276.4515380859375
2015-01-20,287.59173583984375,277.5820007324219
2015-01-21,288.02532958984375,276.4258728027344
2015-01-22,285.6302185058594,277.8111267089844
2015-01-23,281.8511047363281,278.07208251953125
2015-01-24,282.36376953125,279.73223876953125
2015-01-25,282.057373046875,278.2587890625
2015-01-26,282.0386047363281,277.8325500488281
2015-01-27,282.9624328613281,279.1817932128906
2015-01-28,282.006103515625,279.8904724121094
2015-01-29,285.9767150878906,279.8341369628906
2015-01-30,289.26727294921875,282.1402587890625
2015-01-31,293.6938781738281,281.6737060546875
2015-02-01,282.9678955078125,277.9453125
2015-02-02,282.33258056640625,276.6274719238281
2015-02-03,288.679443359375,277.7460021972656
2015-02-04,291.989013671875,279.86370849609375
2015-02-05,283.9498291015625,278.18377685546875
2015-02-06,283.8562927246094,276.1964416503906
2015-02-07,284.14837646484375,273.3807678222656
2015-02-08,284.1600036621094,274.2840576171875
2015-02-09,281.99664306640625,274.3802490234375
2015-02-10,285.57177734375,272.3243103027344
2015-02-11,289.1684265136719,273.75518798828125
2015-02-12,290.1534118652344,275.5654602050781
2015-02-13,286.2543029785156,279.6369323730469
2015-02-14,285.6192932128906,278.60968017578125
2015-02-15,288.7571716308594,279.08587646484375
2015-02-16,285.2462158203125,279.33514404296875
