datetime,maximum_2m_air_temperature,minimum_2m_air_temperature
2015-01-01,281.1432800292969,272.2136535644531
2015-01-02,283.7945251464844,276.80596923828125
2015-01-03,287.5015563964844,278.2647705078125
2015-01-04,289.3062744140625,280.5349426269531
2015-01-05,289.1722717285156,277.9960632324219
2015-01-06,288.8294372558594,274.5558166503906
2015-01-07,287.8450012207031,277.2740783691406
2015-01-08,288.3092041015625,276.1681823730469
2015-01-09,287.1632995605469,278.9793701171875
2015-01-10,290.613037109375,281.5058288574219
2015-01-11,293.07855224609375,279.3609619140625
2015-01-12,288.3021545410156,278.7841796875
2015-01-13,292.97686767578125,276.1360168457031
2015-01-14,293.72174072265625,279.51763916015625
2015-01-15,294.1725769042969,276.62164306640625
2015-01-16,294.2990417480469,282.9742126464844
2015-01-17,287.681640625,280.14532470703125
2015-01-18,283.09222412109375,278.788818359375
2015-01-19,287.180908203125,277.3928527832031
2015-01-20,288.3865051269531,278.07257080078125
2015-01-21,288.9765319824219,277.4263916015625
2015-01-22,286.67559814453125,278.6846618652344
2015-01-23,282.9455261230469,279.20770263671875
2015-01-24,283.6811218261719,280.930419921875
2015-01-25,282.98724365234375,278.83282470703125
2015-01-26,282.90045166015625,278.65130615234375
2015-01-27,283.7538757324219,280.247802734375
2015-01-28,283.47906494140625,281.03692626953125
2015-01-29,286.47259521484375,280.7875671386719
2015-01-30,289.6757507324219,282.16845703125
2015-01-31,293.5896911621094,282.3780822753906
2015-02-01,283.1799011230469,278.83831787109375
2015-02-02,282.9287109375,277.6692199707031
2015-02-03,289.39276123046875,277.9679870605469
2015-02-04,292.810546875,279.640869140625
2015-02-05,284.7640075683594,279.03594970703125
2015-02-06,284.7709655761719,277.4118957519531
2015-02-07,284.73004150390625,273.7825012207031
2015-02-08,284.5101623535156,275.8460693359375
2015-02-09,282.7901306152344,275.88262939453125
2015-02-10,285.8013916015625,273.9608459472656
2015-02-11,289.5667724609375,274.3649597167969
2015-02-12,290.1183166503906,275.8222961425781
2015-02-13,286.83367919921875,280.3728942871094
2015-02-14,286.8288879394531,280.11456298828125
2015-02-15,289.4228515625,279.6259765625
2015-02-16,284.9471130371094,280.4837646484375
2015-02-17,285.3406982421875,281.2109680175781
2015-02-18,287.07452392578125,280.8038330078125
2015-02-19,285.7287292480469,280.7655334472656
2015-02-20,286.63580322265625,277.2934875488281
2015-02-21,289.4277648925781,282.0826416015625
2015-02-22,283.5110778808594,280.7712097167969
2015-02-23,286.0304260253906,281.1512756347656
2015-02-24,285.8961181640625,280.37744140625
2015-02-25,282.609619140625,280.168701171875
2015-02-26,284.2874755859375,281.9768371582031
2015-02-27,286.02447509765625,281.1298828125
2015-02-28,285.1611633300781,280.4721984863281
2015-03-01,285.5238342285156,279.4480895996094
2015-03-02,293.2813415527344,279.8831481933594
2015-03-03,295.934814453125,282.0198974609375
2015-03-04,298.17864990234375,282.2811279296875
2015-03-05,286.4417724609375,280.7602844238281
2015-03-06,283.8638000488281,279.91082763671875
2015-03-07,284.34552001953125,279.52423095703125
2015-03-08,282.8089294433594,277.53179931640625
2015-03-09,284.5671691894531,279.76434326171875
2015-03-10,286.60687255859375,279.0445556640625
2015-03-11,288.5709228515625,280.2821044921875
2015-03-12,291.1304931640625,280.1405334472656
2015-03-13,289.5946960449219,280.4358825683594
2015-03-14,293.32183837890625,276.9649353027344
2015-03-15,286.446044921875,283.4785461425781
2015-03-16,287.47369384765625,283.14508056640625
2015-03-17,288.5180358886719,279.3625183105469
2015-03-18,292.3774719238281,276.9896240234375
2015-03-19,294.17364501953125,280.8820495605469
2015-03-20,291.0432434082031,282.84539794921875
2015-03-21,291.3022155761719,285.81304931640625
2015-03-22,292.4801940917969,283.9262390136719
2015-03-23,295.77362060546875,281.486328125
2015-03-24,289.35467529296875,284.6849670410156
2015-03-25,294.4878845214844,283.6456604003906
2015-03-26,286.1611328125,283.22418212890625
2015-03-27,286.6885070800781,283.2005920410156
2015-03-28,288.61810302734375,284.7494812011719
2015-03-29,290.2965393066406,285.00018310546875
2015-03-30,293.9884033203125,283.50555419921875
2015-03-31,295.0440673828125,286.52532958984375
2015-04-01,291.04962158203125,285.0059814453125
2015-04-02,289.02593994140625,283.66253662109375
2015-04-03,291.3788757324219,281.9602966308594
2015-04-04,295.511962890625,279.12847900390625
2015-04-05,290.8986511230469,280.38311767578125
2015-04-06,289.8667297363281,280.49737548828125
2015-04-07,287.56451416015625,277.701904296875
2015-04-08,288.0758056640625,277.1709899902344
2015-04-09,290.5694580078125,276.2085266113281
2015-04-10,296.3460693359375,278.4851379394531
2015-04-11,297.6643371582031,281.021240234375
2015-04-12,296.8323974609375,281.6933898925781
2015-04-13,295.00103759765625,283.5370178222656
2015-04-14,297.39031982421875,281.4932556152344
2015-04-15,300.2593078613281,281.60797119140625
2015-04-16,302.98577880859375,284.3182067871094
2015-04-17,298.8080749511719,286.7110290527344
2015-04-18,302.33380126953125,283.6787414550781
2015-04-19,297.7016906738281,287.38671875
2015-04-20,295.6035461425781,285.16845703125
2015-04-21,295.1187438964844,284.598876953125
2015-04-22,297.71649169921875,282.5326232910156
2015-04-23,301.83331298828125,287.7541809082031
2015-04-24,297.87274169921875,288.4261474609375
2015-04-25,300.8227233886719,284.6904296875
2015-04-26,302.3053283691406,288.3119812011719
2015-04-27,295.4320068359375,287.4485168457031
2015-04-28,295.7139892578125,284.7511291503906
2015-04-29,298.8092956542969,283.29974365234375
2015-04-30,298.7965087890625,285.5725402832031
2015-05-01,303.63323974609375,285.731201171875
2015-05-02,304.4324035644531,288.7139892578125
2015-05-03,309.9438781738281,289.9290771484375
2015-05-04,313.1414489746094,291.8742370605469
2015-05-05,311.656005859375,294.41815185546875
2015-05-06,307.1199645996094,291.1669921875
2015-05-07,302.6976013183594,289.4150085449219
2015-05-08,307.78802490234375,289.2441101074219
2015-05-09,298.3863830566406,289.6481018066406
2015-05-10,298.4524230957031,286.5132141113281
2015-05-11,302.5447082519531,285.6856689453125
2015-05-12,303.89337158203125,287.2900085449219
2015-05-13,304.49127197265625,287.6401062011719
2015-05-14,310.1168212890625,287.6984558105469
2015-05-15,309.07489013671875,288.98077392578125
2015-05-16,292.3505554199219,286.86541748046875
2015-05-17,293.35101318359375,286.1454772949219
2015-05-18,297.1629638671875,288.5359191894531
2015-05-19,305.8880615234375,286.89971923828125
2015-05-20,303.9291687011719,289.2515869140625
2015-05-21,290.6783447265625,285.8775939941406
2015-05-22,292.48919677734375,285.2933349609375
2015-05-23,295.0351257324219,284.7129821777344
2015-05-24,298.12017822265625,284.3747863769531
2015-05-25,299.56988525390625,286.7928466796875
2015-05-26,293.68035888671875,288.1398010253906
2015-05-27,294.7056579589844,287.6236572265625
2015-05-28,298.3113708496094,286.6743469238281
2015-05-29,306.2156677246094,285.6844787597656
2015-05-30,302.61175537109375,290.406494140625
2015-05-31,300.8971862792969,288.9482116699219
2015-06-01,301.799560546875,288.7766418457031
2015-06-02,301.7728271484375,289.18048095703125
2015-06-03,302.97869873046875,289.2847595214844
2015-06-04,303.65966796875,289.10174560546875
2015-06-05,304.5978698730469,289.7939147949219
2015-06-06,304.14862060546875,290.189208984375
2015-06-07,304.8679504394531,293.09765625
2015-06-08,305.5361022949219,291.6184387207031
2015-06-09,307.18963623046875,291.5545349121094
2015-06-10,308.0548095703125,292.3178405761719
2015-06-11,309.3212890625,294.4890441894531
2015-06-12,308.9432678222656,297.2296447753906
2015-06-13,305.389404296875,293.7030334472656
2015-06-14,305.4922180175781,292.45404052734375
2015-06-15,306.0166015625,293.3517150878906
2015-06-16,302.1372985839844,292.9665222167969
2015-06-17,299.1943054199219,292.1667175292969
2015-06-18,300.3534851074219,291.10943603515625
2015-06-19,300.8121337890625,289.4004211425781
2015-06-20,301.0039367675781,290.49737548828125
2015-06-21,301.4972839355469,292.1227722167969
2015-06-22,306.32037353515625,289.65228271484375
2015-06-23,310.51666259765625,294.2185974121094
2015-06-24,306.4109191894531,294.08978271484375
2015-06-25,304.750732421875,293.4815368652344
2015-06-26,302.1009521484375,290.84185791015625
