datetime,u_component_of_wind_10m,v_component_of_wind_10m
2015-01-01,2.656386613845825,-1.9434314966201782
2015-01-02,1.793671727180481,-0.862204372882843
2015-01-03,3.4851322174072266,-0.18846677243709564
2015-01-04,5.000885486602783,-1.1017364263534546
2015-01-05,1.9005061388015747,-2.4201228618621826
2015-01-06,1.623282551765442,0.4343632757663727
2015-01-07,0.6104474067687988,-0.027714496478438377
2015-01-08,1.3456796407699585,0.013407416641712189
2015-01-09,3.140836715698242,-0.155869260430336
2015-01-10,4.21535062789917,-0.5469750165939331
2015-01-11,3.686150550842285,-0.34841188788414
2015-01-12,3.112067937850952,-1.506516933441162
2015-01-13,0.686282217502594,1.4828295707702637
2015-01-14,1.65531587600708,0.28403735160827637
2015-01-15,0.02631254494190216,1.5124481916427612
2015-01-16,1.675280213356018,2.15436053276062
2015-01-17,1.3852874040603638,-1.1511889696121216
2015-01-18,1.8932801485061646,-1.1245225667953491
2015-01-19,0.43942221999168396,2.2376232147216797
2015-01-20,1.2646018266677856,0.44634461402893066
2015-01-21,0.6238953471183777,0.6590757966041565
2015-01-22,1.8737009763717651,1.0166752338409424
2015-01-23,5.773969650268555,-1.4621831178665161
2015-01-24,6.299585342407227,-1.6384316682815552
2015-01-25,3.5438458919525146,0.14333035051822662
2015-01-26,3.365327835083008,-1.9211610555648804
2015-01-27,4.7699432373046875,-1.3878813982009888
2015-01-28,3.7380053997039795,-1.8496216535568237
2015-01-29,3.106886625289917,-0.18123292922973633
2015-01-30,4.799506664276123,1.7207306623458862
2015-01-31,5.162747859954834,1.0121521949768066
2015-02-01,5.9923319816589355,-0.6368438601493835
2015-02-02,4.484699726104736,0.3764059543609619
2015-02-03,2.7297744750976562,1.9477053880691528
2015-02-04,1.069835901260376,2.3458380699157715
2015-02-05,3.364161729812622,0.040081754326820374
2015-02-06,4.060015678405762,0.5375259518623352
2015-02-07,2.0088775157928467,0.28331053256988525
2015-02-08,4.538425445556641,-0.2970971167087555
