datetime,maximum_2m_air_temperature,minimum_2m_air_temperature
2015-01-01,279.7164306640625,272.150390625
2015-01-02,282.23602294921875,276.8584289550781
2015-01-03,286.7486572265625,278.36041259765625
2015-01-04,288.6817932128906,282.0138244628906
2015-01-05,287.6665954589844,277.5660705566406
2015-01-06,287.8147888183594,274.4874267578125
2015-01-07,287.2951965332031,276.00384521484375
2015-01-08,287.4847717285156,276.0060729980469
2015-01-09,286.1865539550781,278.0040588378906
2015-01-10,290.282958984375,281.62652587890625
2015-01-11,292.6022033691406,281.2521667480469
2015-01-12,287.5968933105469,278.26861572265625
2015-01-13,292.342529296875,276.95001220703125
2015-01-14,292.8388366699219,279.9832763671875
2015-01-15,293.31744384765625,276.3643798828125
2015-01-16,293.783935546875,282.2132568359375
2015-01-17,286.5660400390625,279.33544921875
2015-01-18,282.3670654296875,277.8036193847656
2015-01-19,285.9487609863281,276.71533203125
2015-01-20,287.70208740234375,277.7385559082031
2015-01-21,288.3321228027344,277.29534912109375
2015-01-22,285.8493957519531,278.08074951171875
2015-01-23,282.01580810546875,278.2415771484375
2015-01-24,282.3621826171875,279.519287109375
2015-01-25,282.441650390625,278.1116943359375
2015-01-26,281.424560546875,277.98797607421875
2015-01-27,283.0865478515625,279.1219482421875
2015-01-28,282.1375732421875,279.91851806640625
2015-01-29,285.36126708984375,279.75738525390625
2015-01-30,289.3935241699219,281.6485595703125
2015-01-31,293.5926208496094,281.8923645019531
2015-02-01,282.86480712890625,278.0135498046875
2015-02-02,282.286376953125,277.0090026855469
2015-02-03,288.8955078125,277.586181640625
2015-02-04,291.7958984375,279.8072509765625
2015-02-05,283.7675476074219,278.7366943359375
2015-02-06,284.10308837890625,276.3907775878906
2015-02-07,283.9188232421875,273.3466491699219
2015-02-08,283.9955749511719,275.9754638671875
2015-02-09,281.33697509765625,276.2962646484375
2015-02-10,285.0931091308594,274.3036804199219
2015-02-11,289.08648681640625,273.76666259765625
2015-02-12,289.8311767578125,276.1333312988281
2015-02-13,286.65045166015625,280.5326232910156
2015-02-14,285.677734375,279.4150085449219
2015-02-15,288.97381591796875,279.2240295410156
2015-02-16,285.1645202636719,279.19793701171875
2015-02-17,284.2312927246094,279.84759521484375
2015-02-18,286.28265380859375,279.55816650390625
2015-02-19,284.055908203125,279.541259765625
2015-02-20,285.1241760253906,278.7137145996094
2015-02-21,288.1183166503906,281.55072021484375
2015-02-22,283.16064453125,279.3042907714844
2015-02-23,284.9913024902344,279.7239074707031
2015-02-24,285.7359313964844,279.46099853515625
2015-02-25,281.78997802734375,279.0953674316406
2015-02-26,283.2763977050781,280.7759704589844
2015-02-27,285.4585876464844,280.2027587890625
2015-02-28,284.72576904296875,279.6322937011719
2015-03-01,284.2782897949219,278.7822265625
2015-03-02,292.3749084472656,279.5852355957031
2015-03-03,295.35321044921875,282.6329650878906
2015-03-04,298.29998779296875,282.6236267089844
2015-03-05,286.56488037109375,279.475341796875
2015-03-06,282.7823181152344,278.92181396484375
2015-03-07,282.80645751953125,278.8393249511719
2015-03-08,281.8814697265625,277.2713928222656
2015-03-09,283.2256774902344,278.85650634765625
2015-03-10,285.4510803222656,278.4170227050781
2015-03-11,287.75628662109375,279.76751708984375
2015-03-12,290.38909912109375,280.52264404296875
2015-03-13,288.5172119140625,279.3828125
2015-03-14,292.4001770019531,277.3502502441406
2015-03-15,286.3970947265625,281.9703063964844
2015-03-16,287.4197692871094,282.6803283691406
2015-03-17,287.74163818359375,279.52227783203125
2015-03-18,291.9485778808594,277.2381896972656
2015-03-19,292.28521728515625,282.4073181152344
2015-03-20,289.7055358886719,283.6900939941406
2015-03-21,288.86859130859375,284.8894958496094
2015-03-22,292.6566467285156,282.8922424316406
2015-03-23,294.37945556640625,280.4743347167969
2015-03-24,288.128173828125,284.3565673828125
2015-03-25,294.0355529785156,283.18670654296875
2015-03-26,285.8545837402344,281.877685546875
2015-03-27,285.6243591308594,281.771240234375
2015-03-28,288.06591796875,283.5075378417969
2015-03-29,289.3997802734375,283.7873229980469
2015-03-30,293.61834716796875,284.0215148925781
2015-03-31,294.2486877441406,287.2823181152344
2015-04-01,290.4971618652344,284.2197570800781
2015-04-02,288.6337890625,282.85186767578125
2015-04-03,290.92962646484375,281.4505615234375
2015-04-04,295.82269287109375,280.5635681152344
2015-04-05,290.54486083984375,279.70611572265625
2015-04-06,288.7933349609375,279.5210876464844
2015-04-07,286.4570617675781,276.90313720703125
2015-04-08,287.1260986328125,277.4532470703125
2015-04-09,289.3841247558594,275.78558349609375
2015-04-10,294.7509765625,279.52716064453125
2015-04-11,296.5836181640625,281.6055603027344
2015-04-12,295.71258544921875,282.3496398925781
2015-04-13,293.868408203125,281.9977722167969
2015-04-14,296.5079040527344,280.4931640625
2015-04-15,298.6650695800781,281.9591369628906
2015-04-16,301.8071594238281,284.8326416015625
2015-04-17,300.13128662109375,286.6257629394531
2015-04-18,300.4080505371094,283.89093017578125
2015-04-19,297.92230224609375,288.4490966796875
2015-04-20,295.0780334472656,285.2906494140625
2015-04-21,293.99371337890625,283.5816650390625
2015-04-22,295.96673583984375,282.7308654785156
2015-04-23,301.6858215332031,288.2651672363281
2015-04-24,297.6698303222656,288.0099792480469
2015-04-25,299.58306884765625,284.9268798828125
2015-04-26,299.9762268066406,288.2677001953125
2015-04-27,295.0603942871094,287.11529541015625
2015-04-28,295.48638916015625,285.2187194824219
2015-04-29,298.3003845214844,283.0022888183594
2015-04-30,298.1814880371094,285.3074035644531
2015-05-01,303.52398681640625,284.9203186035156
2015-05-02,304.3429260253906,288.1343078613281
2015-05-03,309.01068115234375,290.78314208984375
2015-05-04,311.4505920410156,291.5382385253906
2015-05-05,311.71636962890625,294.8918151855469
2015-05-06,309.2837829589844,291.39263916015625
2015-05-07,302.9734191894531,289.9538269042969
2015-05-08,308.0672607421875,289.881103515625
2015-05-09,298.17669677734375,289.1411437988281
2015-05-10,298.51300048828125,286.130126953125
2015-05-11,301.4239807128906,284.53533935546875
2015-05-12,302.71649169921875,286.9976501464844
2015-05-13,303.3865051269531,286.31890869140625
2015-05-14,308.7795715332031,287.4493713378906
2015-05-15,309.81512451171875,288.0018005371094
2015-05-16,291.78057861328125,286.1333312988281
2015-05-17,292.7646484375,285.19329833984375
2015-05-18,297.10198974609375,288.1607666015625
2015-05-19,305.3343505859375,286.6051330566406
2015-05-20,306.0246276855469,288.5948791503906
2015-05-21,289.9869384765625,284.6625061035156
2015-05-22,291.9775085449219,283.8492431640625
2015-05-23,294.7206115722656,284.01385498046875
2015-05-24,297.8661804199219,283.4529724121094
2015-05-25,297.90643310546875,286.0727844238281
2015-05-26,293.72467041015625,286.7298278808594
2015-05-27,294.0540771484375,287.0913391113281
2015-05-28,297.8048095703125,286.36151123046875
2015-05-29,304.0771484375,285.39617919921875
2015-05-30,301.151611328125,290.0541076660156
2015-05-31,299.88653564453125,289.10919189453125
2015-06-01,300.25555419921875,286.54888916015625
